date,1. open,2. high,3. low,4. close,5. volume,ticker
2025-11-14,168.9100,169.3400,166.9900,167.5800,2748828,MMM
2025-11-13,170.4200,172.5600,169.2500,170.6200,3879287,MMM
2025-11-12,168.6600,171.7800,168.6600,171.0800,2694423,MMM
2025-11-11,167.6700,170.1800,166.0000,168.6700,2365839,MMM
2025-11-10,165.0000,169.1700,163.9700,167.6700,2755069,MMM
2025-11-07,163.9100,165.2800,162.6600,164.8400,2506370,MMM
2025-11-06,164.2000,165.4900,159.5700,163.8500,5193127,MMM
2025-11-05,160.6900,164.8250,160.1400,164.3200,2622025,MMM
2025-11-04,161.8200,162.2250,159.3500,160.5900,3520969,MMM
2025-11-03,166.0100,166.2750,161.4850,162.1900,3141267,MMM
2025-10-31,165.4900,167.3400,165.2100,166.5000,2096607,MMM
2025-10-30,165.0100,169.2550,164.6000,166.4500,2143743,MMM
2025-10-29,167.1500,168.0000,163.6100,164.6300,3163430,MMM
2025-10-28,168.3200,168.5000,166.3500,166.8300,2448274,MMM
2025-10-27,169.9800,170.6300,167.4000,168.4000,2922636,MMM
2025-10-24,172.0000,172.8500,167.7500,168.5000,3612557,MMM
2025-10-23,167.2200,171.6300,166.7100,171.6000,4779102,MMM
2025-10-22,167.1600,169.1800,165.5300,167.2300,5276083,MMM
2025-10-21,158.0000,166.8200,152.8000,166.6400,7302219,MMM
2025-10-20,153.2300,156.0700,153.0300,154.7800,4230387,MMM
2025-10-17,151.4500,153.0700,151.2700,152.6400,4493997,MMM
2025-10-16,154.4700,154.4700,150.6100,151.4100,4279373,MMM
2025-10-15,153.6900,155.6600,152.7100,153.4700,2381669,MMM
2025-10-14,149.2700,153.7100,149.2700,152.5300,2604831,MMM
2025-10-13,150.5700,152.4300,150.4150,151.1000,2724952,MMM
2025-10-10,153.2400,154.2500,148.4550,148.7500,3504585,MMM
2025-10-09,156.1000,156.6000,151.3700,152.8800,2512543,MMM
2025-10-08,155.7100,156.0900,152.7800,156.0000,2084240,MMM
2025-10-07,156.8300,157.9356,155.1800,155.3300,1696736,MMM
2025-10-06,158.7000,159.2100,154.6300,155.9300,2421544,MMM
2025-10-03,158.9200,160.3899,157.7100,158.6600,3411657,MMM
2025-10-02,157.2600,159.5799,156.5350,158.8000,2167531,MMM
2025-10-01,154.4500,156.5400,154.2595,156.0000,2298007,MMM
2025-09-30,153.8500,155.2200,152.4300,155.1800,2177105,MMM
2025-09-29,153.5000,154.4000,152.5400,154.0800,2043475,MMM
2025-09-26,154.0200,154.5000,152.3700,152.8100,2103977,MMM
2025-09-25,154.0000,154.0000,151.8210,153.0300,2949463,MMM
2025-09-24,156.0000,156.5000,154.4600,154.6000,1739323,MMM
2025-09-23,153.8400,158.1400,153.8400,156.2900,2254053,MMM
2025-09-22,155.6000,155.7100,153.6400,153.8600,2484860,MMM
2025-09-19,155.9100,157.4100,154.6900,156.6000,6507181,MMM
2025-09-18,155.1500,156.9200,154.3100,155.4000,1795288,MMM
2025-09-17,156.4950,158.5400,153.5400,155.1600,2757388,MMM
2025-09-16,156.8950,157.4800,153.6300,156.5000,2208605,MMM
2025-09-15,158.0000,158.3800,155.2500,156.6600,3219697,MMM
2025-09-12,159.1100,162.1000,157.8100,157.8700,2865130,MMM
2025-09-11,153.7900,159.5000,153.4000,159.4700,3663942,MMM
2025-09-10,153.1600,155.2100,152.4601,153.5700,2811664,MMM
2025-09-09,154.1500,154.1500,151.5500,153.0800,1669316,MMM
2025-09-08,154.6100,154.9800,152.0000,154.0000,2715877,MMM
2025-09-05,155.8000,157.5600,154.2800,155.3000,2053261,MMM
2025-09-04,152.2000,155.6000,152.0200,155.5200,2741207,MMM
2025-09-03,153.5000,154.0850,150.4300,152.0000,3668705,MMM
2025-09-02,153.9500,154.4900,151.7000,154.2700,2745252,MMM
2025-08-29,157.6000,158.2400,155.3150,155.5300,3279345,MMM
2025-08-28,157.7600,158.4700,156.5800,157.5600,2982306,MMM
2025-08-27,156.0400,157.2200,155.7500,156.5300,2155078,MMM
2025-08-26,155.7600,156.7200,154.5800,156.5700,2960618,MMM
2025-08-25,157.5900,157.9200,155.8000,155.8500,1606448,MMM
2025-08-22,155.7500,159.1100,155.0000,158.7200,1958280,MMM
2025-08-21,154.3700,155.2100,153.1500,154.3800,2237024,MMM
2025-08-20,154.1200,155.3400,153.1720,154.7500,3258357,MMM
2025-08-19,152.8400,155.7200,152.0500,154.3400,2146354,MMM
2025-08-18,152.3600,155.4300,152.1900,152.8600,2585596,MMM
2025-08-15,157.3700,157.3700,151.6101,152.3900,3921288,MMM
2025-08-14,159.6000,160.0700,156.6300,156.6500,6344865,MMM
2025-08-13,158.3900,160.4700,156.6200,160.2000,3132091,MMM
2025-08-12,155.7900,158.4600,155.6100,157.8500,2748432,MMM
2025-08-11,153.7500,155.6100,153.1601,155.3100,3354606,MMM
2025-08-08,152.4000,153.6850,151.4200,153.3000,2376382,MMM
2025-08-07,151.9800,152.4800,149.9750,151.7400,2293938,MMM
2025-08-06,150.2700,151.3850,148.6400,150.8200,2636959,MMM
2025-08-05,148.4600,151.2200,148.0000,150.0900,3743918,MMM
2025-08-04,145.3900,148.1800,145.0000,147.8700,3641307,MMM
2025-08-01,146.5000,146.7150,144.2500,144.4100,4074812,MMM
2025-07-31,146.1900,149.5550,145.5600,149.2200,4390365,MMM
2025-07-30,152.4800,152.5000,146.5000,146.6200,3529547,MMM
2025-07-29,152.4000,153.1000,151.1501,151.7900,3918461,MMM
2025-07-28,150.6050,153.8800,150.1492,152.0500,3970272,MMM
2025-07-25,150.0000,151.4000,149.2000,151.2700,2818226,MMM
2025-07-24,150.0000,151.2950,147.8100,149.3000,4860918,MMM
2025-07-23,151.9200,152.6500,149.8001,150.8200,4976704,MMM
2025-07-22,152.9800,154.0614,150.3150,151.2000,4927882,MMM
2025-07-21,152.2500,153.6500,149.3400,152.8200,5194358,MMM
2025-07-18,162.5400,164.1500,150.2500,153.2300,11701861,MMM
2025-07-17,157.2600,159.4700,156.7880,159.0400,5024180,MMM
2025-07-16,157.6200,157.6800,154.8500,157.5600,3194822,MMM
2025-07-15,157.9100,158.2800,156.0300,156.5900,3059003,MMM
2025-07-14,155.5900,158.1100,154.9200,157.9100,2961358,MMM
2025-07-11,156.0500,156.5500,154.8200,155.8400,2401730,MMM
2025-07-10,156.1100,159.4700,155.9600,157.3200,4043673,MMM
2025-07-09,154.3800,156.6500,153.8400,155.9800,2855896,MMM
2025-07-08,151.7300,154.6150,151.5300,153.7400,3252326,MMM
2025-07-07,152.8000,154.4700,150.9500,151.8400,3877072,MMM
2025-07-03,154.2500,155.0000,149.5000,152.9400,3182854,MMM
2025-07-02,154.2100,155.4500,153.2050,153.9700,2864794,MMM
2025-07-01,152.0000,156.0900,151.4200,153.8100,3781853,MMM
2025-06-30,152.2800,152.4600,151.0000,152.2400,2302814,MMM
2025-06-27,151.1400,152.8700,150.5600,152.0200,3938243,MMM
2025-06-26,147.6900,151.1100,147.3100,150.7600,2740127,MMM
2025-11-14,65.8500,66.2747,64.6500,64.7400,1168797,AOS
2025-11-13,66.5100,67.3700,65.8500,66.0900,1323272,AOS
2025-11-12,66.3300,66.7400,66.0200,66.3700,1149905,AOS
2025-11-11,66.4200,66.6300,65.4500,65.7900,1056437,AOS
2025-11-10,66.1200,66.3700,65.4000,66.1700,1062872,AOS
2025-11-07,65.3300,66.3900,65.3300,66.2600,1172770,AOS
